Ticket_ID,Customer_ID,Customer_Name,Customer_Email,Customer_Country,Customer_Language,Channel,Query_Category,Query_Subcategory,Customer_Query_Text,Intent_Detected,Sentiment_Score,Priority_Level,AI_Response_Text,Human_Escalation_Flag,Resolution_Status,Resolution_Time,Customer_Feedback_Rating,Follow_Up_Required,Timestamp
TKT-10000,CUST-5000,User0,user0@example.com,India,French,Chat,Product,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.16,Medium,AI provided a helpful response.,FALSE,Resolved,36,5,TRUE,2025-12-08T11:52:19.728667
TKT-10001,CUST-5001,User1,user1@example.com,Pakistan,Urdu,Email,Account,Payment Failure,Customer is facing an issue and needs support.,Request Info,0.63,Critical,AI provided a helpful response.,TRUE,Pending,67,2,FALSE,2025-12-05T19:29:19.728667
TKT-10002,CUST-5002,User2,user2@example.com,France,German,Chat,Delivery,Payment Failure,Customer is facing an issue and needs support.,Get Help,-0.91,Medium,AI provided a helpful response.,TRUE,Pending,55,4,FALSE,2026-02-02T11:24:19.728667
TKT-10003,CUST-5003,User3,user3@example.com,Germany,Arabic,Chat,Billing,General Inquiry,Customer is facing an issue and needs support.,Get Help,0.14,Medium,AI provided a helpful response.,TRUE,Escalated,57,3,TRUE,2026-01-19T16:27:19.728667
TKT-10004,CUST-5004,User4,user4@example.com,France,Urdu,Web,Billing,General Inquiry,Customer is facing an issue and needs support.,Cancel Service,0.6,Medium,AI provided a helpful response.,FALSE,Pending,29,3,FALSE,2025-12-30T07:50:19.728667
TKT-10005,CUST-5005,User5,user5@example.com,France,Hindi,WhatsApp,Delivery,General Inquiry,Customer is facing an issue and needs support.,Cancel Service,-0.13,Medium,AI provided a helpful response.,FALSE,Escalated,20,3,FALSE,2025-12-20T00:14:19.728667
TKT-10006,CUST-5006,User6,user6@example.com,Canada,Hindi,Web,Billing,Login Issue,Customer is facing an issue and needs support.,Complaint,0.1,Low,AI provided a helpful response.,TRUE,Pending,64,2,FALSE,2026-01-30T08:47:19.728667
TKT-10007,CUST-5007,User7,user7@example.com,Australia,German,Chat,Account,Refund Request,Customer is facing an issue and needs support.,Get Help,-0.03,Critical,AI provided a helpful response.,FALSE,Pending,62,3,FALSE,2026-01-20T17:50:19.728667
TKT-10008,CUST-5008,User8,user8@example.com,India,Urdu,WhatsApp,Product,Payment Failure,Customer is facing an issue and needs support.,Request Info,0.51,High,AI provided a helpful response.,TRUE,Escalated,34,4,TRUE,2026-01-15T00:54:19.728667
TKT-10009,CUST-5009,User9,user9@example.com,UK,French,Email,Account,Bug Report,Customer is facing an issue and needs support.,Cancel Service,0.21,High,AI provided a helpful response.,FALSE,Resolved,14,5,TRUE,2025-12-06T12:08:19.728667
TKT-10010,CUST-5010,User10,user10@example.com,Canada,German,Chat,Technical,Payment Failure,Customer is facing an issue and needs support.,Request Info,-0.41,Medium,AI provided a helpful response.,FALSE,Resolved,55,2,FALSE,2026-01-03T21:50:19.728667
TKT-10011,CUST-5011,User11,user11@example.com,USA,French,Web,Delivery,Refund Request,Customer is facing an issue and needs support.,Get Help,-0.08,Medium,AI provided a helpful response.,TRUE,Pending,14,4,FALSE,2026-01-26T17:55:19.728667
TKT-10012,CUST-5012,User12,user12@example.com,Canada,Urdu,WhatsApp,Account,Bug Report,Customer is facing an issue and needs support.,Request Info,-0.62,Low,AI provided a helpful response.,FALSE,Pending,66,5,TRUE,2026-01-22T10:46:19.728667
TKT-10013,CUST-5013,User13,user13@example.com,Pakistan,Arabic,Web,Account,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.54,Low,AI provided a helpful response.,FALSE,Escalated,22,2,TRUE,2026-02-08T10:25:19.728667
TKT-10014,CUST-5014,User14,user14@example.com,Germany,English,WhatsApp,Billing,Bug Report,Customer is facing an issue and needs support.,Cancel Service,-0.83,Critical,AI provided a helpful response.,FALSE,Pending,63,3,FALSE,2025-12-09T03:51:19.728667
TKT-10015,CUST-5015,User15,user15@example.com,UK,English,Chat,Delivery,General Inquiry,Customer is facing an issue and needs support.,Get Help,0.94,Low,AI provided a helpful response.,FALSE,Escalated,36,4,FALSE,2025-12-17T21:48:19.728667
TKT-10016,CUST-5016,User16,user16@example.com,Australia,Urdu,WhatsApp,Technical,Login Issue,Customer is facing an issue and needs support.,Request Info,0.6,Medium,AI provided a helpful response.,TRUE,Pending,49,2,FALSE,2026-01-05T01:25:19.728667
TKT-10017,CUST-5017,User17,user17@example.com,UAE,French,Email,Technical,Payment Failure,Customer is facing an issue and needs support.,Request Info,-0.83,Critical,AI provided a helpful response.,TRUE,Pending,54,2,FALSE,2025-12-16T15:00:19.728667
TKT-10018,CUST-5018,User18,user18@example.com,UAE,English,Chat,Technical,Bug Report,Customer is facing an issue and needs support.,Get Help,-0.96,Critical,AI provided a helpful response.,TRUE,Resolved,62,3,TRUE,2026-01-14T01:30:19.728667
TKT-10019,CUST-5019,User19,user19@example.com,Canada,German,Web,Billing,General Inquiry,Customer is facing an issue and needs support.,Complaint,0.46,Medium,AI provided a helpful response.,FALSE,Pending,31,3,TRUE,2025-12-18T21:37:19.728667
TKT-10020,CUST-5020,User20,user20@example.com,Australia,Arabic,Email,Delivery,General Inquiry,Customer is facing an issue and needs support.,Request Info,-0.99,Critical,AI provided a helpful response.,TRUE,Resolved,16,4,TRUE,2026-01-22T07:45:19.728667
TKT-10021,CUST-5021,User21,user21@example.com,Canada,French,Email,Technical,General Inquiry,Customer is facing an issue and needs support.,Request Info,0.31,Critical,AI provided a helpful response.,TRUE,Resolved,2,4,TRUE,2025-12-07T09:01:19.728667
